BIOLOGICAL_REPLICATE_ID	1
CONTACT_LAB	Walter
CONTACT_PERSON	Nina Gasparoni, npaelmke@googlemail.com
EXPERIMENT_DATE	2013-10-11
EXPERIMENT_ID	41_Hf01_LiHe_Ct_DNase_S_1_emd.tsv
EXPERIMENT_TYPE	DNAse
EXTRACTION_PROTOCOL	DNAse_sizefractionation_v1
EXTRACTION_PROTOCOL_STARTING_NR_CELLS	2355200
FULL_LENGTH_PROTOCOL_LINK	no-data
LIBRARY_GENERATION_cDNA_FRAGMENTATION	no-data
LIBRARY_GENERATION_FRAGMENT_SIZE_SELECTION	no-data
LIBRARY_GENERATION_INITIAL_INPUT_QNTY	8 ng
LIBRARY_GENERATION_PCR_F_PRIMER_SEQUENCE	TruSeq PCR Primer Cocktail (PPC)
LIBRARY_GENERATION_PCR_NUMBER_CYCLES	8
LIBRARY_GENERATION_PCR_POLYMERASE_TYPE	TruSeq PCR Master Mix
LIBRARY_GENERATION_PCR_PRIMER_CONC	Nach Kit protocol
LIBRARY_GENERATION_PCR_PRODUCT_ISOLATION_PROTOCOL	Ampure Beads 1:1
LIBRARY_GENERATION_PCR_PRODUCT_LENGTH	-1
LIBRARY_GENERATION_PCR_R_PRIMER_SEQUENCE	TruSeq PCR Primer Cocktail (PPC)
LIBRARY_GENERATION_PCR_TEMPLATE_CONC	Everything from library prep
LIBRARY_GENERATION_PCR_THERMOCYCLING_PROGRAM	8*(10s @ 98°C, 30s @ 60°C, 30s @ 72°C), 5m @ 72°C, hold at 4°C
LIBRARY_GENERATION_PROTOCOL	Illumina TruSeq Chip Sample Prep
RNA_cDNA_PREPARATION_INITIAL_RNA_QNTY	no-data
RNA_cDNA_PREPARATION_PCR_NUMBER_CYCLES	no-data
RNA_cDNA_PREPARATION_REVERSE_TRANSCRIPTION_PROTOCOL	no-data
RNA_EXTRACTION_PROTOCOL	no-data
RNA_EXTRACTION_PROTOCOL_FRAGMENTATION	no-data
RNA_PREPARATION_3'_RNA_ADAPTER_LIGATION_PROTOCOL	no-data
RNA_PREPARATION_3'_RNA_ADAPTER_SEQUENCE	no-data
RNA_PREPARATION_5'_DEPHOSPHORYLATION	no-data
RNA_PREPARATION_5'_PHOSPHORYLATION	no-data
RNA_PREPARATION_5'_RNA_ADAPTER_LIGATION_PROTOCOL	no-data
RNA_PREPARATION_5'_RNA_ADAPTER_SEQUENCE	no-data
RNA_PREPARATION_FRAGMENT_SIZE_RANGE	no-data
RNA_PREPARATION_INITIAL_QNTY	no-data
RNA_PREPARATION_REVERSE_TRANSCRIPTION_PRIMER_SEQUENCE	no-data
RNA_PREPARATION_REVERSE_TRANSCRIPTION_PROTOCOL	no-data
RNA_PROTOCOL_ENRICHMENT	no-data
SAMPLE_ID	41_Hf01_LiHe_Ct
SEQUENCING_CHEMISTRY_VERSION	TruSeq SBS Kit v3
SEQUENCING_CLUSTER_GENERATION_KIT_VERSION	TruSeq PE Cluster Kit v3
SEQUENCING_CONTROL_SOFTWARE_VERSION	HCS 2.0.12.0 / RTA 1.17.21.3 / Recipe Fragment 1.3.61.0
SEQUENCING_CYCLES	101
SEQUENCING_DATE	2013-10-11
SEQUENCING_LANE	6
SEQUENCING_PE_TYPE	paired end
SEQUENCING_PLATFORM	Illumina HiSeq 2500
SEQUENCING_PLATFORM_VERSION	Illumina HiSeq 2500
SEQUENCING_PROCESSING_SOFTWARE_VERSION	bcl2fastq_v1.8.4
SEQUENCING_RUN_TYPE	Multiplexed PE 2x101 + 1 Index
TECHNICAL_REPLICATE_ID	1
ChromatinAccessibility_CHROMATIN_AMOUNT	2560000 (viability: 76%)
ChromatinAccessibility_CHROMATIN_STATUS	Fresh
ChromatinAccessibility_ENZYME	DNAseI type II from bovine pancreas
ChromatinAccessibility_ENZYME_AMOUNT	60 U/ml
ChromatinAccessibility_ENZYME_LOT	Order# D4527
ChromatinAccessibility_ENZYME_PROVIDER	Sigma
ChromatinAccessibility_METHOD	DNAse
ChromatinAccessibility_PROTOCOL	DNAse_Hepatocytes_v1
EXTRACTION_PROTOCOL_SONICATION_FRAGMENT_SIZE_RANGE	100-500
LIBRARY_GENERATION_ADAPTOR_LIGATION_PROTOCOL	Illumina TruSeq Chip Sample Prep
LIBRARY_GENERATION_ADAPTOR_SEQUENCE	CGATGT
CHIP_ANTIBODY	no-data
CHIP_ANTIBODY_CATALOG	no-data
CHIP_ANTIBODY_LOT	no-data
CHIP_ANTIBODY_PROVIDER	no-data
CHIP_PROTOCOL	no-data
CHIP_PROTOCOL_ANTIBODY_AMOUNT	no-data
CHIP_PROTOCOL_BEAD_AMOUNT	no-data
CHIP_PROTOCOL_BEAD_TYPE	no-data
CHIP_PROTOCOL_CHROMATIN_AMOUNT	no-data
CHIP_PROTOCOL_DURATION_CROSSLINKING	no-data
CHIP_PROTOCOL_IPSTAR_CONDITIONS	no-data
CHIP_PROTOCOL_PERC_CH2O_CROSSLINKING	no-data
CHIP_PROTOCOL_SHEARING_CYCLES	no-data
CHIP_PROTOCOL_SHEARING_FREQUENCY	no-data
CHIP_PROTOCOL_SHEARING_METHOD	no-data
BISULFITE_CONVERSION_PROTOCOL	no-data
DNA_PREPARATION_FRAGMENT_SIZE_RANGE	no-data
DNA_PREPARATION_INITIAL_DNA_QNTY	no-data
EXTRACTION_PROTOCOL_SONICATION_CYCLES	no-data
EXTRACTION_PROTOCOL_TYPE_OF_SONICATOR	DNAse
SEQUENCING_FC_ID	no-data
