DEEP_SAMPLE_ID	53_Mf02_LPFi_RA
ORGANISM	Mus musculus
STRAIN	C57BL/6
POOL	no
STATUS	hTNF transgenic
DISEASE	rheumatoid arthritis
BIOMATERIAL_PROVIDER	Anja Hillmann, Pap Lab
BIOMATERIAL_TYPE	primary cell culture
CELL_TYPE	fibroblast
MARKERS	isolated from the synovium
DONOR_ID	53_Mf02
DONOR_AGE	13
DONOR_HEALTH_STATUS	Rheumatoid arthritis
DONOR_SEX	female
DONOR_ETHNICITY	NA
COMMENT	sister of 53_Mf01, same caging, only RNA sequencing
DONOR_AGE_UNIT	weeks
TISSUE_TYPE	synovial fluid
PASSAGE_IF_EXPANDED	4
CULTURE_CONDITIONS	10% CO2, DMEM+10%FCS+P/S
